date,open,high,low,close,volume
2025-03-14,544.55,557.45,543.88,556.26,656200
2025-03-17,552.72,563.7,549.58,554.82,664500
2025-03-18,548.7,555.58,532.52,539.99,558300
2025-03-19,545.34,571.4,542.65,568.11,576500
2025-03-20,560.16,572.82,556.5,558.41,524900
2025-03-21,550.63,562.28,544.34,560.0,803500
2025-03-24,571.99,574.16,561.0,572.52,689500
2025-03-25,569.21,579.67,566.97,577.18,439800
2025-03-26,575.57,578.2,553.56,559.06,521600
2025-03-27,554.78,557.0,540.0,550.65,374500
2025-03-28,550.4,550.4,529.0,534.95,678200
2025-03-31,522.67,528.83,507.03,525.95,779100
2025-04-01,521.59,542.98,520.19,541.2,509500
2025-04-02,530.69,560.3,530.69,558.42,731800
2025-04-03,532.67,553.6,528.76,539.69,661900
2025-04-04,511.26,520.0,486.1,497.13,971200
2025-04-07,471.72,524.82,469.24,502.55,1045900
2025-04-08,522.71,536.84,497.99,504.03,942900
2025-04-09,503.15,567.04,497.36,559.84,1105400
2025-04-10,543.85,564.36,534.22,551.25,655700
2025-04-11,549.0,569.0,541.52,567.98,516500
2025-04-14,578.0,590.0,571.72,574.83,665800
2025-04-15,575.1,584.17,572.82,578.42,330600
2025-04-16,572.01,581.11,564.68,571.85,368400
2025-04-17,578.2,578.2,556.39,559.53,519600
2025-04-21,550.0,556.63,531.22,541.93,478900
2025-04-22,551.32,561.81,546.0,555.52,440800
2025-04-23,576.4,594.46,574.2,576.9,492700
2025-04-24,576.15,593.84,571.0,590.67,493200
2025-04-25,590.72,603.98,590.72,603.78,556200
2025-04-28,605.66,614.0,594.54,602.46,456100
2025-04-29,603.57,612.03,598.81,611.13,399500
2025-04-30,591.59,614.76,585.49,613.3,519600
2025-05-01,617.96,627.73,613.02,621.1,450500
2025-05-02,632.18,638.35,626.46,628.16,507900
2025-05-05,624.99,631.16,620.99,621.4,358100
2025-05-06,608.97,612.78,597.56,601.67,759300
2025-05-07,602.01,607.6,594.52,601.82,886300
2025-05-08,646.38,698.27,644.61,686.83,1693000
2025-05-09,684.01,697.39,677.61,684.59,642400
2025-05-12,700.0,703.0,667.0,693.1,878000
2025-05-13,695.0,732.17,694.71,724.77,868800
2025-05-14,725.0,730.76,715.59,728.53,566000
2025-05-15,725.5,732.22,722.0,728.39,569900
2025-05-16,732.0,735.68,724.74,733.18,420500
2025-05-19,721.99,742.34,721.05,742.32,425600
2025-05-20,741.41,744.51,734.89,742.75,383500
2025-05-21,738.0,748.8,730.01,735.38,570700
2025-05-22,734.07,735.0,722.03,723.75,510400
2025-05-23,717.98,735.43,714.0,731.37,422400
2025-05-27,740.58,748.14,736.63,746.08,477500
2025-05-28,748.81,755.05,743.63,751.0,524500
2025-05-29,753.19,754.81,729.16,730.29,535400
2025-05-30,731.01,751.99,729.14,750.36,1121100
2025-06-02,755.0,765.0,742.8,758.57,521000
2025-06-03,761.0,766.26,750.0,759.07,503300
2025-06-04,760.0,780.62,757.45,780.0,558100
2025-06-05,780.53,793.24,773.99,788.36,682200
2025-06-06,794.92,798.16,784.64,791.85,443700
2025-06-09,795.83,806.64,775.86,783.8,537200
2025-06-10,778.54,787.61,751.25,762.66,600200
2025-06-11,764.67,782.79,746.9,778.36,487400
2025-06-12,773.16,781.12,772.61,775.2,350100
2025-06-13,771.81,786.77,767.6,780.63,359000
2025-06-16,786.37,797.5,779.28,780.61,471000
2025-06-17,776.39,782.75,770.2,777.54,445600
2025-06-18,775.85,779.89,761.9,770.79,482800
2025-06-20,780.28,781.0,767.08,777.32,1182000
2025-06-23,773.48,791.38,767.32,783.24,391200
2025-06-24,785.0,799.66,758.24,794.25,743500
2025-06-25,800.0,801.0,780.66,785.07,440400
2025-06-26,791.81,805.48,791.81,803.95,484300
2025-06-27,804.85,820.83,802.28,818.6,1010900
2025-06-30,818.75,830.21,816.86,827.94,529900
2025-07-01,825.89,829.5,765.5,775.38,997400
2025-07-02,774.68,782.98,756.72,774.55,574300
2025-07-03,781.77,797.89,780.0,795.48,268700
2025-07-07,796.02,804.44,790.0,802.16,452800
2025-07-08,802.72,815.0,774.1,790.22,507700
2025-07-09,794.3,809.99,785.0,805.86,339900
2025-07-10,802.11,803.0,728.43,732.99,1225700
2025-07-11,740.33,753.02,723.0,729.62,1121500
2025-07-14,727.1,752.97,723.99,750.26,538600
2025-07-15,752.74,753.57,740.16,745.87,373400
2025-07-16,743.56,748.27,725.05,742.77,516000
2025-07-17,744.8,753.25,739.79,745.86,341000
2025-07-18,747.83,757.98,741.07,756.09,404200
2025-07-21,755.92,758.25,741.91,751.55,377300
