date,open,high,low,close,volume
2025-03-14,257.4107,263.8522,256.2728,262.833,4336800
2025-03-17,262.3976,263.6345,258.5189,261.5962,2975800
2025-03-18,261.8139,262.7044,257.7174,259.9536,3251700
2025-03-19,260.2604,269.1458,258.509,267.8001,2894200
2025-03-20,266.1972,271.6591,265.3957,267.9782,2129500
2025-03-21,265.0296,267.7111,262.3679,267.6616,4229700
2025-03-24,272.332,275.3201,271.3425,274.9342,2651400
2025-03-25,275.9633,276.8439,273.3016,276.3393,2767600
2025-03-26,277.0517,279.1593,271.7086,273.0938,2578600
2025-03-27,271.9658,272.5991,267.6913,269.1557,2312000
2025-03-28,267.7804,269.7692,260.2406,262.6846,3261500
2025-03-31,259.7261,267.4934,256.2728,266.217,3946000
2025-04-01,262.9419,268.0179,262.3284,267.632,2881400
2025-04-02,264.0797,274.3999,263.7631,272.3517,2473700
2025-04-03,257.4602,258.2518,244.5773,245.2106,7736200
2025-04-04,236.1963,237.2387,226.9637,231.987,9097500
2025-04-07,223.6578,240.1872,218.833,232.5827,6283600
2025-04-08,244.049,245.2105,225.7128,229.7136,4782100
2025-04-09,225.3157,262.8518,224.6208,260.4593,8640600
2025-04-10,253.1725,253.649,236.792,245.1013,4799900
2025-04-11,245.1013,250.9387,241.3785,249.3106,4413500
2025-04-14,254.6616,255.7536,250.3332,253.5298,3067000
2025-04-15,254.1453,258.7418,253.4504,255.9919,3509100
2025-04-16,253.3114,257.064,247.8215,251.0876,4244900
2025-04-17,251.1174,253.7681,245.3098,249.4893,3907500
2025-04-21,247.0471,248.4469,237.5365,240.7531,4302900
2025-04-22,245.3297,251.4053,244.5851,250.5913,2324100
2025-04-23,259.9728,268.2127,257.3817,258.2554,3872900
2025-04-24,256.2003,266.0584,256.1308,265.3833,2696300
2025-04-25,265.0656,266.9122,262.0874,262.8915,1940100
2025-04-28,263.0206,266.0584,260.628,263.0305,1561500
2025-04-29,263.507,265.5422,259.9331,265.0855,1730800
2025-04-30,259.0694,265.4826,255.3466,264.4799,3522700
2025-05-01,266.0584,270.6847,264.5891,266.5945,2473800
2025-05-02,272.5113,276.0852,271.1215,274.8443,3099300
2025-05-05,273.4643,279.5499,272.0943,276.0157,2416300
2025-05-06,272.4915,276.1051,271.6278,273.375,3064000
2025-05-07,275.3307,276.7901,271.9057,274.2387,2329200
2025-05-08,277.7035,283.4316,276.7107,281.605,3418000
2025-05-09,282.9353,284.9208,280.92,282.4488,2704600
2025-05-12,295.1859,297.0026,292.5948,296.7544,4089000
2025-05-13,297.8266,300.8247,296.6552,300.1099,3531700
2025-05-14,300.9537,301.4203,297.2806,297.9258,1954400
2025-05-15,295.8907,298.7498,294.8483,297.3798,1955000
2025-05-16,298.184,299.4646,295.6723,297.5486,2962200
2025-05-19,294.8582,298.7101,293.5478,297.1316,2751300
2025-05-20,294.342,296.0396,292.0587,294.0243,2706600
2025-05-21,290.917,291.9892,283.0444,283.928,3447500
2025-05-22,283.5607,286.9559,283.0048,285.0995,2051800
2025-05-23,279.7783,285.02,279.4209,283.1537,1724200
2025-05-27,288.4252,291.731,286.0624,291.6318,2604300
2025-05-28,291.3339,293.24,290.2618,291.2346,1676900
2025-05-29,294.1137,294.4611,290.6787,293.24,2362200
2025-05-30,292.833,293.6074,289.5172,291.9197,5251700
2025-06-02,290.232,293.6073,288.2266,293.1904,1751200
2025-06-03,293.0613,296.0892,290.5298,295.2355,2202400
2025-06-04,295.6524,296.4863,293.657,293.786,1842100
2025-06-05,294.3519,296.3374,292.009,293.8158,1696900
2025-06-06,298.1145,301.3012,297.0621,300.2787,2099000
2025-06-09,301.5891,301.5891,297.4096,299.3753,2097800
2025-06-10,299.5143,299.5937,295.8411,297.35,2045300
2025-06-11,298.0053,301.192,296.4864,296.9331,2013500
2025-06-12,294.5207,296.4169,291.8701,295.8311,1604500
2025-06-13,290.4306,291.2049,284.0769,285.7051,3405600
2025-06-16,288.8223,294.3023,287.9189,292.0885,2307800
2025-06-17,289.9739,292.4558,288.8421,290.6887,2625800
2025-06-18,289.9639,297.0721,289.9639,294.2725,3691500
2025-06-20,295.4241,297.5784,294.4909,296.4268,5687000
2025-06-23,294.6696,297.6975,289.7654,297.4593,3101700
2025-06-24,300.9041,306.9798,299.961,306.1459,2805900
2025-06-25,306.6522,308.5185,304.9546,306.3543,2467200
2025-06-26,307.3372,310.0077,305.9374,309.1638,3255200
2025-06-27,311.8045,317.8008,310.8317,314.892,4605500
2025-06-30,316.2719,317.8107,315.2891,316.6691,3416600
2025-07-01,314.6339,322.0299,314.0085,320.1933,3836200
2025-07-02,320.65,324.2537,319.012,323.251,3040200
2025-07-03,323.7885,327.5804,322.6439,326.5752,1541800
