date,open,high,low,close,volume
2025-03-14,467.8086,476.0269,465.1243,475.2488,3915900
2025-03-17,474.14,486.8807,472.6228,485.3344,5152300
2025-03-18,488.4661,492.0938,484.1673,489.9833,3617600
2025-03-19,491.1893,492.4634,486.3459,489.3998,3317600
2025-03-20,491.3935,500.2829,489.7012,497.2776,4965400
2025-03-21,497.6472,504.7664,491.2379,502.6754,10244900
2025-03-24,500.954,504.037,497.1026,502.335,3840900
2025-03-25,504.0662,504.7664,497.5013,499.3492,3015100
2025-03-26,501.0707,508.6081,498.7851,503.9884,3253800
2025-03-27,502.1308,506.7894,498.8824,501.5764,2822200
2025-03-28,502.6949,506.6922,500.9248,501.8876,2379100
2025-03-31,504.9415,513.6363,504.3677,509.3861,5238700
2025-04-01,511.3216,513.685,506.663,508.7735,2962500
2025-04-02,508.6081,510.6019,502.6268,508.8513,2378900
2025-04-03,515.455,533.4574,514.7742,525.6185,6457900
2025-04-04,525.813,536.6085,510.4463,510.6505,9919000
2025-04-07,499.32,514.6867,489.779,510.3101,7356700
2025-04-08,566.204,568.9661,532.4459,537.9118,11762300
2025-04-09,544.7782,573.2358,539.254,562.6347,12691900
2025-04-10,564.3269,585.3735,564.0935,578.0986,8646000
2025-04-11,572.7689,589.7306,570.4445,583.0295,6121500
2025-04-14,578.6821,579.2949,563.403,570.9599,4839300
2025-04-15,575.9979,576.6009,566.0485,567.5851,3871300
2025-04-16,569.2676,578.4974,566.9724,568.9953,4192100
2025-04-17,468.7326,476.3575,434.8383,441.656,29120200
2025-04-21,437.4254,441.0628,413.1596,413.6653,13029900
2025-04-22,412.9943,419.6661,405.6805,415.4646,10156900
2025-04-23,415.3577,426.8146,412.1287,416.2232,8345700
2025-04-24,415.8439,418.11,412.0314,412.615,7629100
2025-04-25,411.9439,411.9439,400.7203,407.1588,9263800
2025-04-28,408.2384,412.4885,404.1536,408.4815,6614300
2025-04-29,409.6389,410.1835,397.8804,398.0069,9909100
2025-04-30,397.8124,401.9264,390.0026,400.1563,9192800
2025-05-01,400.0396,400.6912,388.8939,389.6914,9316800
2025-05-02,388.9911,390.9752,382.329,388.9522,11392900
2025-05-05,388.1741,398.464,386.6861,393.7081,8157200
2025-05-06,391.7532,393.6206,382.6305,383.6906,7858600
2025-05-07,384.5075,384.6729,375.1222,380.3352,8517200
2025-05-08,379.3043,380.199,374.8012,374.9763,7218300
2025-05-09,375.093,375.9489,368.1586,370.201,8381100
2025-05-12,370.5511,376.5908,366.5052,368.3628,11004800
2025-05-13,326.5323,332.6207,300.623,302.8404,59478300
2025-05-14,312.6342,314.0834,298.6875,299.5628,40029600
2025-05-15,267.3609,269.0629,242.0545,266.826,121849200
2025-05-16,271.6305,286.4136,261.7589,283.9044,71094300
2025-05-19,296.4117,307.6158,289.0979,307.2267,62524700
2025-05-20,312.1188,315.7368,304.0075,312.7607,41487000
2025-05-21,292.7451,301.4594,291.8406,294.6708,45506900
2025-05-22,285.8301,297.2871,284.4782,288.5339,27159600
2025-05-23,287.9795,291.4807,283.6418,287.464,16873600
2025-05-27,291.2862,291.7239,281.2006,286.9096,20144600
2025-05-28,285.9371,295.4488,285.2368,289.9343,16114200
2025-05-29,288.6603,295.0598,286.9096,289.9927,16221100
2025-05-30,289.7982,297.2579,287.7266,293.6302,16309300
2025-06-02,294.8069,304.9509,292.7159,296.3631,19074400
2025-06-03,294.7875,297.3356,291.7822,292.959,12805700
2025-06-04,295.2155,299.203,291.9671,292.1421,11255600
2025-06-05,292.1421,294.1262,286.044,287.7266,13529000
2025-06-06,289.0785,296.0421,289.0007,294.9042,12589000
2025-06-09,296.6743,298.9696,292.8813,294.8751,12170300
2025-06-10,295.4683,296.7521,292.3463,295.4586,11384100
2025-06-11,294.379,303.0349,293.9414,302.0429,14711400
2025-06-12,302.8598,310.0569,300.0491,309.7651,15957200
2025-06-13,307.2365,308.7148,303.3559,304.9315,13762400
2025-06-16,306.577,306.8414,298.5355,301.3466,14240100
2025-06-17,301.1409,303.5896,299.2505,302.5317,11593900
2025-06-18,301.2388,305.3918,299.9459,300.896,12205600
2025-06-20,303.1488,303.237,295.4011,295.8125,16177900
2025-06-23,295.7048,296.2631,289.4557,294.5098,12274700
2025-06-24,295.264,299.5443,293.1875,299.3484,8781400
2025-06-25,298.1339,298.1339,293.6479,295.8223,8722100
2025-06-26,296.361,300.416,295.1073,296.41,6532700
2025-06-27,296.7332,304.0793,295.9986,302.7668,15304400
2025-06-30,302.6591,305.9697,300.0537,305.5681,10074100
2025-07-01,305.5681,319.8489,304.6964,319.4474,17865500
2025-07-02,314.1581,315.8037,300.1418,301.2486,18177200
2025-07-03,303.4818,305.8424,301.9049,302.2183,6161100
2025-07-07,301.6796,302.2771,295.0192,297.4776,9031200
2025-07-08,297.9869,301.9734,297.5657,301.3857,9613800
2025-07-09,296.9683,297.3699,292.6194,296.694,12816700
