date,open,high,low,close,volume
2025-03-14,120.08,120.39,117.17,118.68,2540800
2025-03-17,118.09,118.97,115.5,117.48,2610500
2025-03-18,117.08,117.96,115.0,115.3,2196500
2025-03-19,115.99,119.97,115.99,119.05,2284200
2025-03-20,118.2,119.83,115.6,115.67,2072200
2025-03-21,113.76,118.33,112.1,117.86,5545000
2025-03-24,120.36,125.36,120.36,124.68,4106000
2025-03-25,124.29,125.71,122.58,122.97,2460200
2025-03-26,122.5,122.79,117.54,118.16,2631300
2025-03-27,117.21,119.47,115.22,116.95,2419600
2025-03-28,115.15,115.32,110.75,111.56,2595900
2025-03-31,109.48,112.11,107.37,111.81,3008300
2025-04-01,111.39,114.63,111.1,113.35,2364600
2025-04-02,111.5,119.19,111.44,117.98,2708800
2025-04-03,100.15,102.87,96.8,100.88,8699700
2025-04-04,96.34,108.61,93.72,106.02,8968500
2025-04-07,102.82,109.29,99.0,106.13,4717500
2025-04-08,109.48,110.74,100.37,101.88,3600000
2025-04-09,101.84,118.64,101.04,116.06,5179200
2025-04-10,112.0,113.42,106.33,109.63,3196600
2025-04-11,107.58,109.86,105.54,109.05,3588700
2025-04-14,111.79,113.3,105.73,107.15,2626600
2025-04-15,106.92,107.2,103.15,104.18,2866200
2025-04-16,103.5,105.15,101.69,103.02,2364200
2025-04-17,104.15,105.94,103.02,105.67,1755600
2025-04-21,103.86,104.28,100.26,103.55,1415700
2025-04-22,104.5,107.52,104.16,106.42,1558900
2025-04-23,110.22,113.0,106.27,106.66,2237600
2025-04-24,107.18,112.33,106.98,110.65,2280300
2025-04-25,109.45,110.57,108.33,109.19,2006000
2025-04-28,109.0,110.51,107.22,109.15,2011700
2025-04-29,108.49,112.14,108.4,111.69,1876100
2025-04-30,108.14,111.52,108.04,110.83,2687300
2025-05-01,110.98,112.71,110.5,111.13,1706100
2025-05-02,114.77,118.0,113.87,116.94,2490700
2025-05-05,117.86,120.58,117.86,118.33,2977500
2025-05-06,115.42,118.45,115.1,117.07,1954100
2025-05-07,118.28,121.42,117.56,120.86,2125300
2025-05-08,123.56,127.67,123.51,125.62,3557500
2025-05-09,125.01,125.74,120.89,121.07,2250200
2025-05-12,129.5,133.43,123.83,126.08,4588100
2025-05-13,128.32,130.41,127.37,129.37,2951100
2025-05-14,129.0,131.52,126.7,127.36,2884700
2025-05-15,125.38,127.49,125.16,126.94,2255200
2025-05-16,128.05,128.85,126.59,127.91,2160300
2025-05-19,126.02,128.25,125.35,127.41,2260700
2025-05-20,127.78,131.58,127.78,128.84,3407600
2025-05-21,126.18,127.95,123.03,123.36,3665000
2025-05-22,123.42,127.0,122.58,126.09,7449100
2025-05-23,97.94,102.87,96.1,101.05,19579700
2025-05-27,102.76,109.03,102.5,108.96,7532100
2025-05-28,108.48,108.67,103.74,104.32,4983800
2025-05-29,106.28,108.13,104.88,107.27,4688400
2025-05-30,105.68,106.0,103.49,105.52,4424800
2025-06-02,104.76,105.23,102.86,105.01,3042400
