date,open,high,low,close,volume
2025-03-14,236.7384,237.6384,234.4787,236.9341,1431800
2025-03-17,237.9808,241.4243,236.4254,239.9667,1269700
2025-03-18,239.9471,241.8058,238.2939,240.4558,1587600
2025-03-19,240.4754,243.8014,239.6732,241.7471,1491400
2025-03-20,239.5656,244.7601,237.7265,240.8569,3180100
2025-03-21,215.0309,226.8287,212.4972,225.3222,9418200
2025-03-24,229.8906,239.0862,229.6363,237.0515,3999000
2025-03-25,236.9732,239.8102,234.3026,235.8287,2668900
2025-03-26,236.7384,239.8004,234.7819,238.3721,2190900
2025-03-27,238.3819,239.5949,237.0123,238.6167,1674200
2025-03-28,237.8145,239.4482,235.408,236.4547,1679800
2025-03-31,234.596,240.1036,234.0482,238.4797,2080700
2025-04-01,238.6949,239.1254,234.0286,236.7189,1369600
2025-04-02,235.32,240.3776,235.1047,239.8395,990900
2025-04-03,225.1754,227.8265,209.0244,211.1668,5066500
2025-04-04,207.3907,209.3472,199.4668,205.5516,3618500
2025-04-07,199.2809,211.0494,195.2603,200.7679,3023800
2025-04-08,204.2603,206.7548,191.2788,193.7636,2407600
2025-04-09,190.1147,216.3907,190.0755,213.2016,3529100
2025-04-10,207.8309,208.8483,197.0114,201.9125,2807500
2025-04-11,200.3375,204.4559,195.5049,203.2527,2198000
2025-04-14,207.1559,209.5233,204.7494,205.8744,1507200
2025-04-15,205.3755,206.1679,201.844,202.8418,1081300
2025-04-16,201.032,202.4994,196.6592,199.1342,1272400
2025-04-17,200.6114,205.2874,200.2983,203.0374,1107000
2025-04-21,201.8146,201.8146,196.7277,200.6603,1182100
2025-04-22,202.3038,204.5635,199.6722,202.0788,1369500
2025-04-23,207.5863,213.7396,205.5613,206.4516,1365800
2025-04-24,205.4342,211.3135,204.3483,211.0005,1132800
2025-04-25,208.5451,208.9755,203.507,206.9603,1328900
2025-04-28,208.3494,209.3961,204.994,206.9016,1360800
2025-04-29,203.6929,206.4711,203.2918,205.2874,1647300
2025-04-30,202.9885,206.0309,199.8875,205.757,1278900
2025-05-01,205.7472,207.2831,203.3211,205.4929,1368400
2025-05-02,209.8461,216.782,207.2831,214.9428,2180500
2025-05-05,212.5363,214.9918,211.7244,212.2722,1261700
2025-05-06,209.2298,211.0396,208.0168,208.7701,1104100
2025-05-07,209.4939,212.1646,208.9168,210.8733,1227700
2025-05-08,213.7689,217.4765,211.8124,214.4439,1334400
2025-05-09,213.8277,215.6081,212.37,213.094,1167900
2025-05-12,224.7156,233.2265,224.7156,227.8852,3390900
2025-05-13,229.8906,229.9395,225.4102,226.1243,2250800
2025-05-14,226.2613,227.2004,224.158,226.7602,2238700
2025-05-15,227.1026,228.9124,225.7526,226.0852,2624500
2025-05-16,226.4765,227.4352,221.7222,224.52,2272000
2025-05-19,220.8907,222.1624,219.9222,221.2037,1852500
2025-05-20,218.2494,219.7852,215.2265,216.332,2437600
2025-05-21,214.9428,215.5885,211.5874,212.0961,1684400
2025-05-22,212.1353,215.4124,211.02,214.0526,1512700
