date,open,high,low,close,volume
2025-03-14,207.1017,210.791,207.1017,210.4368,916300
2025-03-17,209.2464,209.5317,202.3893,209.0005,1376600
2025-03-18,208.1839,208.479,201.4842,203.2845,1239400
2025-03-19,203.9732,207.0722,202.3696,205.3899,1088700
2025-03-20,204.0912,207.8002,204.0421,205.3309,1093400
2025-03-21,203.5206,206.9344,201.3267,206.7869,4656100
2025-03-24,209.9843,211.8338,208.3905,210.9976,901900
2025-03-25,211.3026,215.6313,210.3581,215.0312,1079300
2025-03-26,214.6082,216.3397,213.28,213.3194,781600
2025-03-27,212.1388,214.9623,210.8894,213.4473,736800
2025-03-28,212.6406,214.3622,208.9808,210.2007,608500
2025-03-31,209.4924,215.0017,208.9513,213.6145,1059000
2025-04-01,212.6504,215.9462,209.8564,214.0474,900100
2025-04-02,210.7811,215.5723,210.2794,214.5393,911300
2025-04-03,186.1761,187.9076,178.9746,182.3392,2810000
2025-04-04,176.6135,180.165,172.2749,175.5706,2506500
2025-04-07,171.3894,183.9231,166.5196,177.9317,1646200
2025-04-08,183.51,184.7791,167.3263,170.8188,1791000
2025-04-09,167.2673,192.6496,167.2476,189.5899,2155200
2025-04-10,185.4973,187.1107,178.4335,183.8051,1061200
2025-04-11,182.4376,187.5927,181.0799,186.7073,701000
2025-04-14,191.469,191.9609,187.8486,188.9898,820200
2025-04-15,188.4782,190.9377,187.8978,189.1964,579400
2025-04-16,187.6026,189.8654,183.4903,185.9006,749100
2025-04-17,188.7537,188.8127,185.3792,187.5239,804200
2025-04-21,184.0904,185.5858,180.775,183.8051,627700
2025-04-22,186.9238,189.1472,185.7137,188.311,747400
2025-04-23,193.2693,196.7619,189.7768,190.6918,817500
2025-04-24,191.9018,196.2208,190.6131,195.8863,686600
2025-04-25,195.8568,196.1322,193.6432,195.7387,561200
2025-04-28,196.0634,198.3655,194.8533,197.3817,837300
2025-04-29,197.8834,201.5038,196.8406,200.7955,1249900
2025-04-30,182.9688,188.3601,175.8461,183.8444,2913400
2025-05-01,182.8901,186.4319,180.6667,183.7559,1019600
2025-05-02,186.5991,190.3081,185.5563,188.675,826600
2025-05-05,186.6876,187.8977,185.2513,187.0713,875500
2025-05-06,185.0644,186.4614,182.6836,184.1101,759800
2025-05-07,183.9724,185.7432,181.4833,185.2119,928400
2025-05-08,186.9238,189.6588,186.6286,187.3271,978000
2025-05-09,188.2913,191.4296,186.5106,188.3306,544600
2025-05-12,198.2966,199.5559,193.3677,194.7746,791600
2025-05-13,195.7781,198.2573,195.3452,197.1947,815000
2025-05-14,196.4077,198.1589,196.0142,197.3325,634400
2025-05-15,196.4864,199.3493,196.4864,198.6508,745300
2025-05-16,199.4378,202.0351,198.1982,201.9564,697100
2025-05-19,198.9164,202.1925,198.9164,201.5825,524700
2025-05-20,200.3626,201.6219,199.7231,200.461,714000
2025-05-21,198.818,201.4251,197.0078,197.4899,720600
2025-05-22,196.6143,199.5362,196.2601,198.3163,730400
2025-05-23,194.3515,198.7197,194.3515,197.3423,535900
2025-05-27,200.6971,202.1826,198.3851,202.1826,730800
2025-05-28,202.0548,202.0548,198.4442,198.6606,780200
2025-05-29,200.2839,200.402,197.5981,199.5559,586400
2025-05-30,198.3163,199.9101,194.9812,199.6838,2404200
2025-06-02,199.2804,199.6838,196.0338,199.6641,663100
2025-06-03,198.7197,201.917,198.4934,201.189,779600
2025-06-04,202.6057,203.2452,201.1005,201.6317,465700
2025-06-05,201.8974,204.0224,201.0906,202.1531,634300
2025-06-06,203.3731,204.4848,202.281,204.0912,750700
2025-06-09,205.0455,205.8719,203.7174,204.9176,1183700
2025-06-10,205.1439,206.7967,204.8291,206.718,683500
2025-06-11,207.1411,208.1347,205.5079,205.744,926900
2025-06-12,205.0259,206.236,204.288,205.016,693300
2025-06-13,202.0449,202.8418,197.6375,198.0605,838400
2025-06-16,199.8393,201.9047,198.6337,201.5193,849600
2025-06-17,199.4144,200.3136,195.1353,195.4516,935200
2025-06-18,196.3014,198.0605,195.0365,195.9654,795700
2025-06-20,196.0643,198.3965,195.9753,197.6553,2155400
2025-06-23,196.6177,199.5428,195.7184,199.365,871300
2025-06-24,201.8355,203.3969,200.3235,202.6656,919100
2025-06-25,203.8219,203.8219,200.284,201.1438,650300
2025-06-26,201.1536,203.6341,200.6595,202.7348,781700
2025-06-27,202.5866,207.0039,202.0331,205.907,1109900
2025-06-30,204.9287,206.8162,203.8713,206.2628,1212400
2025-07-01,204.8002,210.9667,203.6044,208.6444,1047900
2025-07-02,208.0712,210.9569,206.9941,210.8778,676800
2025-07-03,211.6486,213.8227,211.5201,212.2415,496800
2025-07-07,212.4787,214.3366,211.0952,211.9055,917400
